HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,0,all,38.19,0.00,8.29,0.00,0.00,53.52
bigdata-proj-m,0,0,27.00,0.00,8.00,0.00,0.00,65.00
bigdata-proj-m,0,1,34.31,0.00,4.90,0.98,0.00,59.80
bigdata-proj-m,0,2,32.99,0.00,3.09,0.00,0.00,63.92
bigdata-proj-m,0,3,59.79,0.00,14.43,0.00,0.00,25.77
bigdata-proj-m,1,all,54.59,0.00,3.47,0.00,0.00,41.94
bigdata-proj-m,1,0,27.18,0.00,5.83,0.00,0.00,66.99
bigdata-proj-m,1,1,53.54,0.00,1.01,0.00,0.00,45.45
bigdata-proj-m,1,2,66.67,0.00,2.02,0.00,0.00,31.31
bigdata-proj-m,1,3,70.87,0.00,4.85,0.00,0.00,24.27
bigdata-proj-m,2,all,58.85,0.00,4.49,0.00,0.00,36.66
bigdata-proj-m,2,0,50.51,0.00,4.04,0.00,0.00,45.45
bigdata-proj-m,2,1,78.22,0.00,5.94,0.00,0.00,15.84
bigdata-proj-m,2,2,53.47,0.00,6.93,0.00,0.00,39.60
bigdata-proj-m,2,3,52.48,0.00,2.97,0.00,0.00,44.55
bigdata-proj-m,3,all,52.25,0.00,4.50,0.00,0.00,43.25
bigdata-proj-m,3,0,34.34,0.00,4.04,0.00,0.00,61.62
bigdata-proj-m,3,1,65.00,0.00,1.00,0.00,0.00,34.00
bigdata-proj-m,3,2,83.84,0.00,7.07,0.00,0.00,9.09
bigdata-proj-m,3,3,27.00,0.00,3.00,0.00,0.00,70.00
bigdata-proj-m,4,all,36.87,0.00,2.02,0.00,0.00,61.11
bigdata-proj-m,4,0,14.29,0.00,3.06,0.00,0.00,82.65
bigdata-proj-m,4,1,95.10,0.00,2.94,0.00,0.00,1.96
bigdata-proj-m,4,2,17.35,0.00,3.06,0.00,0.00,79.59
bigdata-proj-m,4,3,18.18,0.00,1.01,0.00,0.00,80.81
bigdata-proj-m,5,all,42.96,0.00,7.04,0.25,0.00,49.75
bigdata-proj-m,5,0,32.65,0.00,2.04,0.00,0.00,65.31
bigdata-proj-m,5,1,73.00,0.00,7.00,0.00,0.00,20.00
bigdata-proj-m,5,2,30.00,0.00,13.00,0.00,0.00,57.00
bigdata-proj-m,5,3,36.00,0.00,6.00,0.00,0.00,58.00
bigdata-proj-m,6,all,8.52,0.00,2.51,0.25,0.00,88.72
bigdata-proj-m,6,0,8.00,0.00,3.00,0.00,0.00,89.00
bigdata-proj-m,6,1,9.00,0.00,4.00,0.00,0.00,87.00
bigdata-proj-m,6,2,11.00,0.00,4.00,0.00,0.00,85.00
bigdata-proj-m,6,3,6.12,0.00,0.00,0.00,0.00,93.88
bigdata-proj-m,7,all,1.01,0.00,1.26,0.00,0.00,97.73
bigdata-proj-m,7,0,1.01,0.00,1.01,0.00,0.00,97.98
bigdata-proj-m,7,1,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,7,2,1.00,0.00,1.00,0.00,0.00,98.00
bigdata-proj-m,7,3,1.00,0.00,2.00,0.00,0.00,97.00
bigdata-proj-m,8,all,0.75,0.00,1.26,0.00,0.00,97.99
bigdata-proj-m,8,0,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,8,1,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,8,2,0.00,0.00,2.04,0.00,0.00,97.96
bigdata-proj-m,8,3,1.98,0.00,1.98,0.00,0.00,96.04
bigdata-proj-m,9,all,10.30,0.00,1.76,0.00,0.00,87.94
bigdata-proj-m,9,0,6.00,0.00,3.00,1.00,0.00,90.00
bigdata-proj-m,9,1,10.00,0.00,1.00,0.00,0.00,89.00
bigdata-proj-m,9,2,13.00,0.00,1.00,0.00,0.00,86.00
bigdata-proj-m,9,3,12.37,0.00,0.00,0.00,0.00,87.63
bigdata-proj-m,10,all,46.00,0.00,3.25,0.25,0.00,50.50
bigdata-proj-m,10,0,50.50,0.00,3.96,0.00,0.00,45.54
bigdata-proj-m,10,1,62.24,0.00,3.06,0.00,0.00,34.69
bigdata-proj-m,10,2,39.00,0.00,3.00,0.00,0.00,58.00
bigdata-proj-m,10,3,33.66,0.00,4.95,0.00,0.00,61.39
bigdata-proj-m,11,all,48.40,0.00,6.17,0.00,0.00,45.43
bigdata-proj-m,11,0,43.00,0.00,15.00,0.00,0.00,42.00
bigdata-proj-m,11,1,46.60,0.00,2.91,0.00,0.00,50.49
bigdata-proj-m,11,2,54.46,0.00,2.97,0.00,0.00,42.57
bigdata-proj-m,11,3,49.02,0.00,3.92,0.00,0.00,47.06
bigdata-proj-m,12,all,22.19,0.00,3.99,0.00,0.00,73.82
bigdata-proj-m,12,0,4.90,0.00,6.86,0.00,0.00,88.24
bigdata-proj-m,12,1,3.00,0.00,2.00,0.00,0.00,95.00
bigdata-proj-m,12,2,40.40,0.00,3.03,0.00,0.00,56.57
bigdata-proj-m,12,3,41.00,0.00,3.00,0.00,0.00,56.00
bigdata-proj-m,13,all,8.77,0.00,1.50,0.00,0.00,89.72
bigdata-proj-m,13,0,9.90,0.00,1.98,0.00,0.00,88.12
bigdata-proj-m,13,1,8.00,0.00,1.00,0.00,0.00,91.00
bigdata-proj-m,13,2,5.10,0.00,1.02,0.00,0.00,93.88
bigdata-proj-m,13,3,12.87,0.00,1.98,0.00,0.00,85.15
bigdata-proj-m,14,all,2.52,0.00,1.26,0.00,0.00,96.22
bigdata-proj-m,14,0,2.02,0.00,1.01,0.00,0.00,96.97
bigdata-proj-m,14,1,3.03,0.00,2.02,0.00,0.00,94.95
bigdata-proj-m,14,2,4.00,0.00,2.00,0.00,0.00,94.00
bigdata-proj-m,14,3,0.00,0.00,1.02,0.00,0.00,98.98
bigdata-proj-m,15,all,6.36,0.00,2.54,0.25,0.00,90.84
bigdata-proj-m,15,0,6.06,0.00,4.04,0.00,0.00,89.90
bigdata-proj-m,15,1,5.10,0.00,2.04,0.00,0.00,92.86
bigdata-proj-m,15,2,6.19,0.00,2.06,0.00,0.00,91.75
bigdata-proj-m,15,3,8.91,0.00,1.98,0.99,0.00,88.12
bigdata-proj-m,16,all,1.01,0.00,1.01,0.00,0.00,97.98
bigdata-proj-m,16,0,2.02,0.00,1.01,0.00,0.00,96.97
bigdata-proj-m,16,1,2.00,0.00,1.00,0.00,0.00,97.00
bigdata-proj-m,16,2,0.00,0.00,1.01,0.00,0.00,98.99
bigdata-proj-m,16,3,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,17,all,12.06,0.00,3.77,0.00,0.00,84.17
bigdata-proj-m,17,0,14.58,0.00,8.33,0.00,0.00,77.08
bigdata-proj-m,17,1,10.10,0.00,1.01,0.00,0.00,88.89
bigdata-proj-m,17,2,11.88,0.00,3.96,0.00,0.00,84.16
bigdata-proj-m,17,3,10.00,0.00,2.00,0.00,0.00,88.00
bigdata-proj-m,18,all,1.26,0.00,2.01,0.00,0.00,96.73
bigdata-proj-m,18,0,2.97,0.00,4.95,0.00,0.00,92.08
bigdata-proj-m,18,1,1.01,0.00,1.01,0.00,0.00,97.98
bigdata-proj-m,18,2,0.00,0.00,3.00,0.00,0.00,97.00
bigdata-proj-m,18,3,1.02,0.00,0.00,0.00,0.00,98.98
bigdata-proj-m,19,all,0.51,0.00,0.51,0.00,0.00,98.98
bigdata-proj-m,19,0,0.00,0.00,0.00,0.00,0.00,100.00
bigdata-proj-m,19,1,0.00,0.00,1.02,0.00,0.00,98.98
bigdata-proj-m,19,2,2.02,0.00,0.00,0.00,0.00,97.98
bigdata-proj-m,19,3,1.01,0.00,0.00,0.00,0.00,98.99
bigdata-proj-m,20,all,17.59,0.00,3.52,0.00,0.00,78.89
bigdata-proj-m,20,0,16.16,0.00,5.05,1.01,0.00,77.78
bigdata-proj-m,20,1,16.00,0.00,3.00,0.00,0.00,81.00
bigdata-proj-m,20,2,21.21,0.00,3.03,0.00,0.00,75.76
bigdata-proj-m,20,3,16.83,0.00,3.96,0.00,0.00,79.21
bigdata-proj-m,21,all,37.50,0.00,3.06,0.26,0.00,59.18
