HostName,TimeStamp,Device:,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
bigdata-proj-m,0,sda,0.00,6.80,4.42,5.78,63.74,116.07,35.26,0.08,7.50,2.75,11.13,0.86,0.88
bigdata-proj-m,1,sda,0.00,0.00,0.00,1.00,0.00,32.00,64.00,0.00,4.00,0.00,4.00,4.00,0.40
bigdata-proj-m,2,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,3,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,4,sda,0.00,37.00,0.00,2.00,0.00,156.00,156.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,5,sda,0.00,1.00,0.00,16.00,0.00,144.00,18.00,0.25,15.50,0.00,15.50,1.50,2.40
bigdata-proj-m,6,sda,0.00,0.00,0.00,15.00,0.00,392.00,52.27,0.01,0.53,0.00,0.53,0.27,0.40
bigdata-proj-m,7,sda,0.00,0.00,0.00,14.00,0.00,28.00,4.00,0.00,0.29,0.00,0.29,0.29,0.40
bigdata-proj-m,8,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,9,sda,0.00,36.00,0.00,2.00,0.00,152.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,10,sda,0.00,23.00,0.00,55.00,0.00,312.00,11.35,0.21,3.78,0.00,3.78,0.29,1.60
bigdata-proj-m,11,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,12,sda,0.00,0.00,0.00,1.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,13,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,14,sda,0.00,14.00,0.00,2.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,15,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,16,sda,0.00,0.00,0.00,6.00,0.00,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,17,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,18,sda,0.00,0.00,0.00,1.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,19,sda,0.00,17.00,0.00,2.00,0.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,20,sda,0.00,8.00,0.00,5.00,0.00,52.00,20.80,0.00,0.80,0.00,0.80,0.80,0.40
bigdata-proj-m,21,sda,0.00,10.00,0.00,14.00,0.00,136.00,19.43,0.01,0.57,0.00,0.57,0.57,0.80
bigdata-proj-m,22,sda,0.00,0.00,0.00,1.98,0.00,3.96,4.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,23,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,24,sda,0.00,0.00,0.00,9.00,0.00,116.00,25.78,0.00,0.44,0.00,0.44,0.44,0.40
bigdata-proj-m,25,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,26,sda,0.00,38.00,0.00,23.00,0.00,224.00,19.48,0.01,0.35,0.00,0.35,0.35,0.80
bigdata-proj-m,27,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,28,sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,29,sda,0.00,0.00,0.00,6.00,0.00,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,30,sda,0.00,0.00,0.00,1.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,31,sda,0.00,42.00,0.00,13.00,0.00,1328.00,204.31,0.17,12.92,0.00,12.92,2.77,3.60
bigdata-proj-m,32,sda,0.00,0.00,0.00,26.00,0.00,52.00,4.00,0.02,0.77,0.00,0.77,0.77,2.00
bigdata-proj-m,33,sda,0.00,0.00,0.00,16.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
bigdata-proj-m,34,sda,0.00,0.00,0.00,45.00,0.00,1676.00,74.49,0.04,0.89,0.00,0.89,0.36,1.60
bigdata-proj-m,35,sda,0.00,0.00,0.00,48.00,0.00,96.00,4.00,0.03,0.67,0.00,0.67,0.67,3.20
bigdata-proj-m,36,sda,0.00,68.00,0.00,79.00,0.00,632.00,16.00,0.02,0.20,0.00,0.20,0.20,1.60
bigdata-proj-m,37,sda,0.00,0.00,0.00,51.00,0.00,204.00,8.00,0.03,0.55,0.00,0.55,0.55,2.80
bigdata-proj-m,38,sda,0.00,0.00,0.00,62.00,0.00,124.00,4.00,0.02,0.32,0.00,0.32,0.32,2.00
bigdata-proj-m,39,sda,0.00,0.00,0.00,74.00,0.00,152.00,4.11,0.03,0.43,0.00,0.43,0.43,3.20
bigdata-proj-m,40,sda,0.00,0.00,0.00,56.00,0.00,116.00,4.14,0.01,0.21,0.00,0.21,0.21,1.20
bigdata-proj-m,41,sda,0.00,100.00,0.00,92.00,0.00,1820.00,39.57,0.10,1.13,0.00,1.13,0.65,6.00
bigdata-proj-m,42,sda,0.00,0.00,0.00,52.00,0.00,108.00,4.15,0.02,0.31,0.00,0.31,0.31,1.60
bigdata-proj-m,43,sda,0.00,0.00,0.00,33.00,0.00,164.00,9.94,0.02,0.61,0.00,0.61,0.61,2.00
bigdata-proj-m,44,sda,0.00,0.00,0.00,74.00,0.00,152.00,4.11,0.03,0.38,0.00,0.38,0.38,2.80
bigdata-proj-m,45,sda,0.00,0.00,0.00,68.00,0.00,140.00,4.12,0.04,0.59,0.00,0.59,0.59,4.00
bigdata-proj-m,46,sda,0.00,112.00,0.00,129.00,0.00,1836.00,28.47,0.16,1.27,0.00,1.27,0.19,2.40
bigdata-proj-m,47,sda,0.00,0.00,0.00,70.00,0.00,144.00,4.11,0.04,0.51,0.00,0.51,0.51,3.60
bigdata-proj-m,48,sda,0.00,0.00,0.00,76.00,0.00,156.00,4.11,0.03,0.42,0.00,0.42,0.42,3.20
bigdata-proj-m,49,sda,0.00,0.00,0.00,73.00,0.00,244.00,6.68,0.03,0.38,0.00,0.38,0.38,2.80
bigdata-proj-m,50,sda,0.00,0.00,0.00,56.00,0.00,116.00,4.14,0.03,0.57,0.00,0.57,0.57,3.20
bigdata-proj-m,51,sda,0.00,19.00,0.00,79.00,0.00,1288.00,32.61,0.04,0.56,0.00,0.56,0.35,2.80
bigdata-proj-m,52,sda,0.00,0.00,0.00,66.00,0.00,136.00,4.12,0.02,0.30,0.00,0.30,0.30,2.00
