HostName,TimeStamp,AM,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,AM,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,AM,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
bigdata-proj-m,0,AM,0.00,32.00,31176.00,0.00,9613.00,0.00,0.00,0.00,0.00,AM,10110916,5293788,34.36,187328,1123524,7536036,48.92,4418132,661288,584,AM,0,0,0.00,0,0.00
bigdata-proj-m,1,AM,0.00,0.00,16441.00,0.00,2641.00,0.00,0.00,0.00,0.00,AM,10056152,5348552,34.72,187328,1123532,7675008,49.82,4472048,661296,592,AM,0,0,0.00,0,0.00
bigdata-proj-m,2,AM,0.00,0.00,19517.00,0.00,3973.00,0.00,0.00,0.00,0.00,AM,9995300,5409404,35.12,187328,1123540,7763052,50.39,4533000,661300,600,AM,0,0,0.00,0,0.00
bigdata-proj-m,3,AM,0.00,156.00,35637.00,0.00,3279.00,0.00,0.00,0.00,0.00,AM,9865844,5538860,35.96,187328,1123540,7763052,50.39,4661680,661300,600,AM,0,0,0.00,0,0.00
bigdata-proj-m,4,AM,0.00,144.00,12325.00,0.00,1432.00,0.00,0.00,0.00,0.00,AM,9823220,5581484,36.23,187328,1124416,8012928,52.02,4702960,662084,1472,AM,0,0,0.00,0,0.00
bigdata-proj-m,5,AM,0.00,392.00,19878.00,0.00,6191.00,0.00,0.00,0.00,0.00,AM,9769692,5635012,36.58,187328,1124824,7989604,51.86,4758316,662548,1632,AM,0,0,0.00,0,0.00
bigdata-proj-m,6,AM,0.00,28.00,11447.00,0.00,2072.00,0.00,0.00,0.00,0.00,AM,9731400,5673304,36.83,187328,1124984,8096924,52.56,4793824,662708,1840,AM,0,0,0.00,0,0.00
bigdata-proj-m,7,AM,0.00,0.00,1659.00,0.00,1433.00,0.00,0.00,0.00,0.00,AM,9730500,5674204,36.83,187328,1124984,8096924,52.56,4793956,662708,1840,AM,0,0,0.00,0,0.00
bigdata-proj-m,8,AM,0.00,152.00,1668.00,0.00,1479.00,0.00,0.00,0.00,0.00,AM,9730192,5674512,36.84,187332,1124984,8096924,52.56,4793912,662708,1880,AM,0,0,0.00,0,0.00
bigdata-proj-m,9,AM,0.00,312.00,1656.00,0.00,1456.00,0.00,0.00,0.00,0.00,AM,9730068,5674636,36.84,187332,1124984,8096924,52.56,4793912,662708,1556,AM,0,0,0.00,0,0.00
